image,label,phase
test_069_tumor,1,0
test_056_normal,0,0
test_059_normal,0,0
tumor_099_tumor,1,0
normal_074_normal,0,1
tumor_042_tumor,1,0
test_058_normal,0,0
tumor_102_tumor,1,0
normal_125_normal,0,1
test_051_tumor,1,0
test_039_normal,0,0
normal_141_normal,0,1
normal_008_normal,0,1
normal_137_normal,0,1
normal_013_normal,0,1
normal_036_normal,0,1
tumor_073_tumor,1,0
normal_089_normal,0,1
tumor_039_tumor,1,0
normal_067_normal,0,1
normal_044_normal,0,1
normal_046_normal,0,1
tumor_097_tumor,1,0
normal_121_normal,0,1
tumor_056_tumor,1,0
test_088_normal,0,0
normal_022_normal,0,1
test_038_tumor,1,0
normal_070_normal,0,1
test_099_tumor,1,0
normal_015_normal,0,1
test_111_normal,0,0
normal_035_normal,0,1
test_005_normal,0,0
tumor_003_tumor,1,0
normal_108_normal,0,1
tumor_048_tumor,1,0
tumor_068_tumor,1,0
normal_094_normal,0,1
normal_007_normal,0,1
tumor_029_tumor,1,0
test_077_normal,0,0
test_068_tumor,1,0
normal_140_normal,0,1
normal_112_normal,0,1
normal_051_normal,0,1
test_108_tumor,1,0
normal_123_normal,0,1
tumor_035_tumor,1,0
tumor_020_tumor,1,0
normal_027_normal,0,1
normal_133_normal,0,1
normal_065_normal,0,1
tumor_067_tumor,1,0
tumor_052_tumor,1,0
tumor_021_tumor,1,0
tumor_010_tumor,1,0
tumor_101_tumor,1,0
normal_118_normal,0,1
normal_095_normal,0,1
normal_064_normal,0,1
tumor_069_tumor,1,0
normal_037_normal,0,1
test_016_tumor,1,0
test_072_normal,0,0
normal_075_normal,0,1
tumor_106_tumor,1,0
test_096_normal,0,0
normal_132_normal,0,1
test_101_normal,0,0
normal_061_normal,0,1
tumor_110_tumor,1,0
test_091_normal,0,0
normal_033_normal,0,1
test_076_normal,0,0
test_026_tumor,1,0
test_022_normal,0,0
normal_149_normal,0,1
tumor_096_tumor,1,0
normal_049_normal,0,1
normal_063_normal,0,1
test_047_normal,0,0
normal_012_normal,0,1
test_089_normal,0,0
normal_106_normal,0,1
normal_056_normal,0,1
tumor_095_tumor,1,0
tumor_108_tumor,1,0
tumor_011_tumor,1,0
tumor_083_tumor,1,0
normal_002_normal,0,1
test_097_tumor,1,0
tumor_006_tumor,1,0
test_093_normal,0,0
normal_052_normal,0,1
test_127_normal,0,0
tumor_041_tumor,1,0
tumor_004_tumor,1,0
normal_126_normal,0,1
tumor_085_tumor,1,0
normal_081_normal,0,1
test_092_tumor,1,0
tumor_082_tumor,1,0
tumor_045_tumor,1,0
test_100_normal,0,0
normal_142_normal,0,1
tumor_037_tumor,1,0
normal_083_normal,0,1
normal_139_normal,0,1
normal_122_normal,0,1
normal_028_normal,0,1
normal_031_normal,0,1
test_116_tumor,1,0
tumor_109_tumor,1,0
tumor_091_tumor,1,0
tumor_032_tumor,1,0
tumor_086_tumor,1,0
normal_156_normal,0,1
test_010_tumor,1,0
tumor_094_tumor,1,0
tumor_076_tumor,1,0
normal_057_normal,0,1
test_020_normal,0,0
normal_053_normal,0,1
test_078_normal,0,0
test_102_tumor,1,0
test_029_tumor,1,0
normal_093_normal,0,1
tumor_026_tumor,1,0
normal_119_normal,0,1
normal_144_normal,0,1
test_071_tumor,1,0
test_009_normal,0,0
normal_100_normal,0,1
normal_120_normal,0,1
normal_111_normal,0,1
normal_152_normal,0,1
tumor_087_tumor,1,0
normal_039_normal,0,1
tumor_079_tumor,1,0
test_019_normal,0,0
normal_116_normal,0,1
tumor_043_tumor,1,0
test_086_normal,0,0
test_024_normal,0,0
normal_101_normal,0,1
tumor_078_tumor,1,0
normal_092_normal,0,1
tumor_090_tumor,1,0
tumor_008_tumor,1,0
test_043_normal,0,0
normal_003_normal,0,1
test_105_tumor,1,0
test_095_normal,0,0
normal_034_normal,0,1
tumor_084_tumor,1,0
tumor_089_tumor,1,0
test_117_tumor,1,0
normal_019_normal,0,1
normal_114_normal,0,1
tumor_013_tumor,1,0
normal_134_normal,0,1
normal_023_normal,0,1
tumor_027_tumor,1,0
test_054_normal,0,0
tumor_092_tumor,1,0
test_074_tumor,1,0
tumor_023_tumor,1,0
test_031_normal,0,0
test_067_normal,0,0
test_003_normal,0,0
test_042_normal,0,0
tumor_071_tumor,1,0
tumor_072_tumor,1,0
normal_103_normal,0,1
test_002_tumor,1,0
normal_135_normal,0,1
test_087_normal,0,0
test_062_normal,0,0
tumor_044_tumor,1,0
test_125_normal,0,0
normal_128_normal,0,1
normal_014_normal,0,1
normal_059_normal,0,1
normal_042_normal,0,1
test_075_tumor,1,0
normal_105_normal,0,1
normal_154_normal,0,1
tumor_017_tumor,1,0
normal_146_normal,0,1
test_050_normal,0,0
test_061_tumor,1,0
test_023_normal,0,0
test_107_normal,0,0
normal_076_normal,0,1
test_055_normal,0,0
normal_127_normal,0,1
test_027_tumor,1,0
normal_050_normal,0,1
normal_068_normal,0,1
normal_078_normal,0,1
tumor_009_tumor,1,0
tumor_014_tumor,1,0
test_104_tumor,1,0
tumor_028_tumor,1,0
normal_048_normal,0,1
tumor_080_tumor,1,0
tumor_025_tumor,1,0
normal_020_normal,0,1
normal_124_normal,0,1
tumor_075_tumor,1,0
test_083_normal,0,0
normal_091_normal,0,1
normal_062_normal,0,1
tumor_050_tumor,1,0
normal_029_normal,0,1
tumor_058_tumor,1,0
tumor_040_tumor,1,0
normal_060_normal,0,1
normal_151_normal,0,1
test_060_normal,0,0
test_130_normal,0,0
normal_032_normal,0,1
test_025_normal,0,0
tumor_053_tumor,1,0
normal_084_normal,0,1
normal_109_normal,0,1
test_079_tumor,1,0
tumor_047_tumor,1,0
normal_153_normal,0,1
test_036_normal,0,0
tumor_049_tumor,1,0
tumor_051_tumor,1,0
tumor_018_tumor,1,0
tumor_046_tumor,1,0
normal_160_normal,0,1
test_028_normal,0,0
test_126_normal,0,0
tumor_066_tumor,1,0
test_065_tumor,1,0
test_017_normal,0,0
tumor_001_tumor,1,0
test_037_normal,0,0
tumor_103_tumor,1,0
normal_115_normal,0,1
tumor_062_tumor,1,0
normal_130_normal,0,1
test_090_tumor,1,0
normal_147_normal,0,1
test_123_normal,0,0
test_053_normal,0,0
normal_136_normal,0,1
test_128_normal,0,0
test_121_tumor,1,0
tumor_060_tumor,1,0
test_118_normal,0,0
normal_148_normal,0,1
